,name,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
243,Rodeo,Valid,MIM,44.0,Found,1852.0,25.33333,-104.66667,"(25.333330, -104.666670)"
244,Mezö-Madaras,Valid,OC,22.7,Fell,1852.0,46.5,25.73333,"(46.500000, 25.733330)"
245,Girgenti,Valid,OC,18.0,Fell,1853.0,37.31667,13.56667,"(37.316670, 13.566670)"
246,Duruma,Valid,OC,0.577,Fell,1853.0,-4.0,39.5,"(-4.000000, 39.500000)"
247,Union County,Valid,MIM,6.8,Found,1853.0,34.75,-84.0,"(34.750000, -84.000000)"
248,Tazewell,Valid,NMIM,27.0,Found,1853.0,36.43333,-83.75,"(36.433330, -83.750000)"
249,Segowlie,Valid,OC,6.93,Fell,1853.0,26.75,84.78333,"(26.750000, 84.783330)"
250,Tabarz,Valid,NMIM,0.15,Found,1854.0,50.88333,10.51667,"(50.883330, 10.516670)"
251,Cranbourne,Valid,NMIM,8600.0,Found,1854.0,-38.1,145.3,"(-38.100000, 145.300000)"
252,Sarepta,Valid,NMIM,14.0,Found,1854.0,48.48333,44.81667,"(48.483330, 44.816670)"
253,Oktibbeha County,Valid,NMIM,0.156,Found,1854.0,33.5,-89.0,"(33.500000, -89.000000)"
254,Madoc,Valid,MIM,168.0,Found,1854.0,44.5,-77.46667,"(44.500000, -77.466670)"
255,Duel Hill (1854),Valid,MIM,21.8,Found,1854.0,35.85,-82.7,"(35.850000, -82.700000)"
256,Emmitsburg,Valid,MIM,0.45,Found,1854.0,39.71667,-77.3,"(39.716670, -77.300000)"
257,Verkhne Udinsk,Valid,MIM,18.0,Found,1854.0,54.76667,113.98333,"(54.766670, 113.983330)"
258,Linum,Valid,OC,1.862,Fell,1854.0,52.75,12.9,"(52.750000, 12.900000)"
259,Avilez,Valid,OC,0.146,Fell,1855.0,25.0,-103.5,"(25.000000, -103.500000)"
260,Oesel,Valid,OC,6.0,Fell,1855.0,58.5,23.0,"(58.500000, 23.000000)"
261,Orange River (iron),Valid,MIM,148.8,Found,1855.0,-30.0,25.0,"(-30.000000, 25.000000)"
262,Petersburg,Valid,AA,1.8,Fell,1855.0,35.3,-86.63333,"(35.300000, -86.633330)"
